"","incidentid","date","statuslabel","status2","state","latitude","longitude","agencytypelabel","agencytype2","sources"
"758",499859,2016-02-04,"Nonfatal",2,"New York",40.8211,-73.9188,"Local",1,"http://www.wcax.com/story/31145672/2-nypd-officer-shot-in-the-bronx,http://abc7ny.com/news/2-police-officers-shot-at-melrose-houses-in-the-bronx;-officers-expected-to-survive/1187590/,http://wbay.com/ap/the-latest-police-say-gunman-who-shot-2-cops-killed-himself/,https://www.dnainfo.com/new-york/20160205/melrose/man-who-shot-police-kissed-his-girlfriend-goodbye-before-killing-himself"
"759",499859,2016-02-04,"Nonfatal",2,"New York",40.8211,-73.9188,"Local",1,"http://www.wcax.com/story/31145672/2-nypd-officer-shot-in-the-bronx,http://abc7ny.com/news/2-police-officers-shot-at-melrose-houses-in-the-bronx;-officers-expected-to-survive/1187590/,http://wbay.com/ap/the-latest-police-say-gunman-who-shot-2-cops-killed-himself/,https://www.dnainfo.com/new-york/20160205/melrose/man-who-shot-police-kissed-his-girlfriend-goodbye-before-killing-himself"
"760",500569,2016-02-05,"Fatal",1,"Oregon",45.993,-123.926,"Local",1,"http://www.cnn.com/2016/02/06/us/oregon-police-shooting/index.html?sr=fbnewday0206oregoncopkilled,http://koin.com/2016/02/05/seaside-officer-hurt-major-crime-team-dispatched/,http://www.oregonlive.com/pacific-northwest-news/index.ssf/2016/02/seaside_police_officer_shot_wh_1.html"
"761",501030,2016-02-06,"Nonfatal",2,"Ohio",40.6608,-83.6453,"Local",1,"http://www.dispatch.com/content/stories/local/2016/02/06/hardin-shooting.html,https://limaohio.com/news/165046/officer-shot-in-kenton-suspect-killed"
"762",501933,2016-02-08,"Fatal",1,"Colorado",39.0794,-108.49,"Sheriff",2,"http://www.thedenverchannel.com/news/local-news/mesa-county-deputy-shot-in-the-line-of-duty-monday-morning,http://denver.cbslocal.com/2016/02/10/suspect-in-fatal-shooting-of-western-colorado-deputy-identified/"
"763",501944,2016-02-05,"Nonfatal",2,"Wyoming",41.1141,-104.8,"Sheriff",2,"http://www.kgwn.tv/home/headlines/Hostage-situation-at-Cheyenne-motel-DEVELOPING-STORY-367902861.html"
"764",502688,2016-02-07,"Nonfatal",2,"Iowa",42.5218,-96.3938,"Local",1,"http://siouxlandnews.com/news/local/sioux-city-police-officer-shot-in-early-morning-shooting,http://siouxcityjournal.com/news/local/robbery-spree-ended-in-shooting-of-officer/article_85cb8ef3-6317-5c69-9335-8382b944294c.html"
"765",502862,2016-02-10,"Fatal",1,"Maryland",39.4689,-76.3095,"Sheriff",2,"http://baltimore.cbslocal.com/2016/02/10/deputies-involved-in-abingdon-shooting/,http://abcnews.go.com/US/wireStory/latest-deputies-wounded-suspect-killed-shootout-36840753,http://patch.com/maryland/belair/sheriff-identifies-2-deputies-killed-line-duty,http://www.baltimoresun.com/news/maryland/harford/abingdon/bs-md-harford-shooting-thursday-20160211-story.html"
"766",502862,2016-02-10,"Fatal",1,"Maryland",39.4689,-76.3095,"Sheriff",2,"http://baltimore.cbslocal.com/2016/02/10/deputies-involved-in-abingdon-shooting/,http://abcnews.go.com/US/wireStory/latest-deputies-wounded-suspect-killed-shootout-36840753,http://patch.com/maryland/belair/sheriff-identifies-2-deputies-killed-line-duty,http://www.baltimoresun.com/news/maryland/harford/abingdon/bs-md-harford-shooting-thursday-20160211-story.html"
"767",503330,2016-02-10,"Nonfatal",2,"Georgia",32.0577,-81.2731,"Sheriff",2,"http://m.wtvm.com/wtvm/db/376055/content/qzGEgqAA,http://savannahnow.com/crime/2016-02-11/sheriff-chatham-county-deputy-shot-suspect-mend"
